feature,importance
num__fare,0.2923442315030393
num__age,0.25949719448963804
cat__sex,0.19168030157421667
cat__title,0.11797035543917878
num__sibsp,0.06639186706963658
num__parch,0.041137447729130826
cat__embarked,0.03097860219515963
cat__pclass,0.0
